item,review,date,rating,review_word,item_url,year
Pocahontas (Disney Gold Classic Collection) [DVD],👍🏼,"November 25, 2018",5,It’s a shame this version it’s not available on Blu-ray. This dvd is simply amazing.,https://www.amazon.com/Pocahontas-Disney-Gold-Classic-Collection/dp/B00004R99J/ref=sr_1_1?crid=3JW3HQPN52PCN&dib=eyJ2IjoiMSJ9.u5yuIqrsfSDHyDcDPleR3w.3kfiomxEG-qWlEZmJ08CjLxn4Nj1ZJiaVJfbIOAKu_E&dib_tag=se&keywords=B00004R99J&qid=1716405155&sprefix=b00004r99j%2Caps%2C356&sr=8-1,2018
Hercules (Walt Disney Gold Classic Collection),Ah the memories...,"April 26, 2018",4,I don't like this movie because it's good. I like this movie because Lou Ferrigno looks like a convincing Hercules AND.... because this movie is a great memory from my childhood. So glad to own this Saturday afternoon badness on blu-ray.,https://www.amazon.com/Hercules-Walt-Disney-Classic-Collection/dp/B00004R99R/ref=sr_1_1?crid=2FTSH42AV5379&dib=eyJ2IjoiMSJ9.6I9WynejnQbIMfFL9XYLQQ.bw6tUbOzXPN5es-V0RIcFynfL6ZWiMQrvc1EuwhZPbY&dib_tag=se&keywords=B00004R99R&qid=1716395158&sprefix=b00004r99r%2Caps%2C348&sr=8-1,2018
High Country Snows,... was not aware of this album and I am glad I did,"January 8, 2018",5,I was not aware of this album and I am glad I did. I think this is his finest album.,https://www.amazon.com/High-Country-Snows-Dan-Fogelberg/dp/B00000261V/ref=sr_1_1?crid=XT4N6YVBTPUK&dib=eyJ2IjoiMSJ9.tAZafTCS4JmVTfR63ZFIfw.8by2Cr0Mi-Ie2Xci-Tfw5srWl9eZbxPjGcgiwHBZDuk&dib_tag=se&keywords=B00000261V&qid=1716311609&sprefix=b00000261v%2Caps%2C214&sr=8-1,2018
RAGE AGAINST THE MACHINE,Love it!,"December 10, 2018",5,"I've had this CD before and misplaced it, so I knew which songs it contained. The CD arrived quickly and I've had no issues with quality- sounds great!",https://www.amazon.com/Rage-Against-Machine/dp/B0000028RS/ref=sr_1_1?crid=VBS29MELSOA3&dib=eyJ2IjoiMSJ9.VWPcOWPyTyv5ICwl-eFZuQ.xjqxaHLS7hgSUbiLdsxg3P_bk__iyD9EZsOD0jn7lEs&dib_tag=se&keywords=B0000028RS&qid=1716317138&sprefix=b0000028rs%2Caps%2C367&sr=8-1,2018
Sky Is Crying,Buy!,"June 18, 2018",5,Stevie Ray was/is the best.,https://www.amazon.com/Crying-Stevie-Vaughan-Double-Trouble/dp/B0000027KO/ref=sr_1_1?crid=3FXO3XAETZQ1T&dib=eyJ2IjoiMSJ9.2fyOwUvpUnv13bKuqApHFg.yVd0Z34eNwLlnxGF_ere0tmYyVK0VZyI5HqmpB3ezrk&dib_tag=se&keywords=B0000027KO&qid=1716315352&sprefix=b0000027ko%2Caps%2C230&sr=8-1,2018
The Castle of Cagliostro (Lupin the III),"A Classic, Can't go wrong","November 24, 2018",5,"It came in fine! Pretty cool DVD
Trying to Catch up on Lupin, and Enjoying every minute so far",https://www.amazon.com/Castle-Cagliostro-Lupin-III/dp/B00000JL3V/ref=sr_1_1?crid=1K33VXYQW89QX&dib=eyJ2IjoiMSJ9.LVtRZnChy96m8lBaasZAKw.C-D8X1sl6SzGHlsXsv0uBGynLpUi1c_zuW6PkGitGxc&dib_tag=se&keywords=B00000JL3V&qid=1716378696&sprefix=b00000jl3v%2Caps%2C461&sr=8-1,2018
Speakerboxxx / The Love Below,Five Stars,"March 9, 2018",5,I love the way you move is my favorite right now,https://www.amazon.com/Speakerboxxx-Love-Below-Outkast/dp/B0000AGWFX/ref=sr_1_1?crid=1AFQTL8YLGFHB&dib=eyJ2IjoiMSJ9.JnRZsWrxq02bSJU0kjXMfA.1b03CaAMVgOIuBb3mRU_UM-SlP50aHbtx9Uuztz-JLc&dib_tag=se&keywords=B0000AGWFX&qid=1716281291&sprefix=b0000agwfx%2Caps%2C385&sr=8-1,2018
Leftoverture,This album will never be dust in the wind!!,"November 8, 2018",5,Great album!! Kansas is awsome! So.. dont.. you ..cry. No more!!,https://www.amazon.com/Leftoverture-Kansas/dp/B000002579/ref=sr_1_1?crid=1BMCW32LI13QI&dib=eyJ2IjoiMSJ9.8hZwN_rsJUTSt5dV-WZp7A.IfEveLO_BcklRD4TFePgK-NtqoZJ27CTiGOLbIUecUM&dib_tag=se&keywords=B000002579&qid=1716303777&sprefix=b000002579%2Caps%2C356&sr=8-1,2018
"Corona RP 3230 Rachet Hand Pruner-3/4 Inch Cut Capacity Stem and Branch Garden Shears, Red",Must-have tool for weekend gardeners,"May 23, 2018",5,"These ratcheting pruners are the best. Corona does make a more industrial ratcheting pruner, but if you are not a gardening fiend, these pruners are just fine. My first pair lasted me 15 years before the ratcheting mechanism just stopped ratcheting for the bigger cuts (3/4""). They fit my size 7 hand comfortably and are easy to sharpen when needed. A gardening must!",https://www.amazon.com/Corona-RP-3230-Ratchet-Pruner/dp/B00004R9YV/ref=sr_1_1?crid=1FC9IYAOZMW4F&dib=eyJ2IjoiMSJ9.MjJfm07O-6hfKjgXd1dKkQ.L4eRAUkNIVBZkNZ8lESFqXt8MGN5-6XRc9PZXDRADy8&dib_tag=se&keywords=B00004R9YV&qid=1716398453&sprefix=b00004r9yv%2Caps%2C193&sr=8-1,2018
Licensed To Ill,"You got fight for the right to OWN THIS, or just go ahead and buy it. Nothing complicated.","March 9, 2018",5,This is my first record that I have bought with my own money. This is great to add to a collection.,https://www.amazon.com/Licensed-Ill-Beastie-Boys/dp/B0000024JN/ref=sr_1_1?crid=26Z40W9BCQ6GN&dib=eyJ2IjoiMSJ9.DzgrAO2p_0xnmHKmBrZUNQ.7vtU8WkuIB8LBQpmm5qZgOEnI5p_03GM7Glll6qKVyQ&dib_tag=se&keywords=B0000024JN&qid=1716297692&sprefix=b0000024jn%2Caps%2C201&sr=8-1,2018
Leftoverture,The Greatest,"May 15, 2018",5,Leftoverture. Enough said. Maybe the greatest album ever!!!,https://www.amazon.com/Leftoverture-Kansas/dp/B000002579/ref=sr_1_1?crid=1BMCW32LI13QI&dib=eyJ2IjoiMSJ9.8hZwN_rsJUTSt5dV-WZp7A.IfEveLO_BcklRD4TFePgK-NtqoZJ27CTiGOLbIUecUM&dib_tag=se&keywords=B000002579&qid=1716303777&sprefix=b000002579%2Caps%2C356&sr=8-1,2018
There's a Riot Goin' On,Excellent reissue!,"January 3, 2018",5,"Already have the regular, bonus CD but enjoy reading the extra material offered in the booklet and got a kick out of the embroidered flag. Worth the money since I'm a big fan of Sly's work.",https://www.amazon.com/Theres-Riot-Goin-Family-Stone/dp/B0000024XW/ref=sr_1_1?crid=3A7UY93P5R9UY&dib=eyJ2IjoiMSJ9.fdRWNQycyF9AZDwZ7VNreg.sfOcLnnhnnjrLeeOWJHhB6XtxueN4yYSU_fxZu00-_4&dib_tag=se&keywords=B0000024XW&qid=1716300528&sprefix=b0000024xw%2Caps%2C360&sr=8-1,2018
High Country Snows,Dan Fogelberg does Bluegrass,"December 27, 2018",5,Excellent Blue Grass Album.,https://www.amazon.com/High-Country-Snows-Dan-Fogelberg/dp/B00000261V/ref=sr_1_1?crid=XT4N6YVBTPUK&dib=eyJ2IjoiMSJ9.tAZafTCS4JmVTfR63ZFIfw.8by2Cr0Mi-Ie2Xci-Tfw5srWl9eZbxPjGcgiwHBZDuk&dib_tag=se&keywords=B00000261V&qid=1716311609&sprefix=b00000261v%2Caps%2C214&sr=8-1,2018
The Downward Spiral,Reznor is a true artist with exceptional musical talent.,"April 19, 2018",5,Fantastic album!! Reznor is a genius. Man it brings me back to high school. Heresy is awesome.,https://www.amazon.com/Downward-Spiral-Nine-Inch-Nails/dp/B000001Y5Z/ref=sr_1_1?crid=3A3LZ91QFKO88&dib=eyJ2IjoiMSJ9.mcGhuEujktzWkhLcRDqAbw.OmTWacVrnhAwlHzvt2cAZWOya0HUXzqFowTm8R8YXKw&dib_tag=se&keywords=B000001Y5Z&qid=1716296825&sprefix=b000001y5z%2Caps%2C334&sr=8-1,2018
Sky Is Crying,Five Stars,"January 18, 2018",5,Great music. A classic!,https://www.amazon.com/Crying-Stevie-Vaughan-Double-Trouble/dp/B0000027KO/ref=sr_1_1?crid=3FXO3XAETZQ1T&dib=eyJ2IjoiMSJ9.2fyOwUvpUnv13bKuqApHFg.yVd0Z34eNwLlnxGF_ere0tmYyVK0VZyI5HqmpB3ezrk&dib_tag=se&keywords=B0000027KO&qid=1716315352&sprefix=b0000027ko%2Caps%2C230&sr=8-1,2018
Antichrist Superstar,Five Stars,"April 12, 2018",5,Arrived in perfect condition!,https://www.amazon.com/Antichrist-Superstar-Marilyn-Manson/dp/B000001Y2U/ref=sr_1_1?crid=1NR6NX5Z7ZUCY&dib=eyJ2IjoiMSJ9.qL2UIBu8WzeeTOxp22ihYA.GglBOjR-g1nUeh0PAyhbq_gqQKDFr4W2YHeZRY411xo&dib_tag=se&keywords=B000001Y2U&qid=1716294963&sprefix=b000001y2u%2Caps%2C186&sr=8-1,2018
Speakerboxxx / The Love Below,Five Stars,"September 22, 2018",5,Product was exactly what we wanted.,https://www.amazon.com/Speakerboxxx-Love-Below-Outkast/dp/B0000AGWFX/ref=sr_1_1?crid=1AFQTL8YLGFHB&dib=eyJ2IjoiMSJ9.JnRZsWrxq02bSJU0kjXMfA.1b03CaAMVgOIuBb3mRU_UM-SlP50aHbtx9Uuztz-JLc&dib_tag=se&keywords=B0000AGWFX&qid=1716281291&sprefix=b0000agwfx%2Caps%2C385&sr=8-1,2018
Riddle Box,Classic Horrorcore and Classic ICP,"March 8, 2018",5,"Classic release from ICP and probably their strongest album. Its got a rough production, its got funny skits, and its got some of the best horrorcore songs released. This is the album that really got me into ICP, back in the late 90s. If your looking to start listening to these guys, this is the perfect album to start with. It contains many of their most well known songs and includes my personal favorite from them ""Ole Evil Eye"". While other albums like ""Great Milenko"" and ""Amazing Jeckle Bros"" sold more copies, I still feel that this is the album that really captures the band.",https://www.amazon.com/Riddle-Box-Insane-Clown-Posse/dp/B00000057M/ref=sr_1_1?crid=22LNFUC6O3KYO&dib=eyJ2IjoiMSJ9.dpW2X3uudffdBpj7m-IC_g.dOmyc2f7xuihAsiwa2gz7NzPVxykGYnHacpvnLYUmbY&dib_tag=se&keywords=B00000057M&qid=1716291071&sprefix=b00000057m%2Caps%2C348&sr=8-1,2018
The Castle of Cagliostro (Lupin the III),YES!,"April 11, 2018",5,SO excited to finally have the older English dub - I know it's not as accurate to the Japanese but it's the version I grew up with! So glad to not have to watch my VHS version anymore!,https://www.amazon.com/Castle-Cagliostro-Lupin-III/dp/B00000JL3V/ref=sr_1_1?crid=1K33VXYQW89QX&dib=eyJ2IjoiMSJ9.LVtRZnChy96m8lBaasZAKw.C-D8X1sl6SzGHlsXsv0uBGynLpUi1c_zuW6PkGitGxc&dib_tag=se&keywords=B00000JL3V&qid=1716378696&sprefix=b00000jl3v%2Caps%2C461&sr=8-1,2018
The Singable Songs Collection,Raffia always the bomb!,"May 24, 2018",5,We had this on cassette in the car when my kids were little. Now with kids of their own they still talk about the songs or just break out singing one of the songs. Now with grandkids we had to get the DVD. It's sweet kids and wholesome. Catchy tunes e kids won't ever forget!,https://www.amazon.com/Singable-Songs-Collection-Raffi/dp/B0000003IO/ref=sr_1_1?crid=298ZXWZ311XF9&dib=eyJ2IjoiMSJ9.1hBSeKyGYeayCLGSRpmXTw.m1Afw24OU3wXwspQ4d7gkCJo3_tZEL8feNNQo0rpW30&dib_tag=se&keywords=B0000003IO&qid=1716285979&sprefix=b0000003io%2Caps%2C215&sr=8-1,2018
No Strings Attached,Five Stars,"July 19, 2018",5,My daughter loves this cd. Delivered on time and was exactly as described.,https://www.amazon.com/No-Strings-Attached-N-Sync/dp/B00004NRPZ/ref=sr_1_1?crid=5YHVOVOPHFCR&dib=eyJ2IjoiMSJ9.dDSgei2nNJfpY716mP3ABg.azOQBCUROox2JyU67ZR2CMK4uZwhIwGFBrtyOqLizg4&dib_tag=se&keywords=B00004NRPZ&qid=1716238819&sprefix=b00004nrpz%2Caps%2C362&sr=8-1,2018
Streisand Superman,Five Stars,"June 21, 2018",5,Great DVD,https://www.amazon.com/Streisand-Superman-Barbra/dp/B0000025AK/ref=sr_1_1?crid=372UAJSOA8GR7&dib=eyJ2IjoiMSJ9.TpLahWTLhKxMKdjTX5mJCw.0rk9mmYuis63rLn3iWdLTNEU2pf42jiBO92vxpk63hY&dib_tag=se&keywords=B0000025AK&qid=1716304515&sprefix=b0000025ak%2Caps%2C318&sr=8-1,2018
Deliverin',Great album! Great band!,"June 20, 2018",5,Love this album! Poco? Great band!,https://www.amazon.com/Deliverin-Poco/dp/B0000024WD/ref=sr_1_1?crid=2QQG04ZFO7UWF&dib=eyJ2IjoiMSJ9.PaE9sz9Kvzg0zE6XL00wiQ.tnl-gfnasoOdSRdQSjb8tRsiUoAdo9qm6J8rI2kRdCc&dib_tag=se&keywords=B0000024WD&qid=1716300166&sprefix=b0000024wd%2Caps%2C378&sr=8-1,2018
My Name Is Joe,I love this cd I already have it with 14 tracks ...,"April 15, 2018",5,"I love this cd I already have it with 14 tracks but I wanted the longer version with three extra tracks, I am a huge fan of Joe...I have most of his cds. love his songs!!!",https://www.amazon.com/My-Name-Joe/dp/B00004SBUI/ref=sr_1_1?crid=2MES7235C1ZW1&dib=eyJ2IjoiMSJ9.Kon7-kdpTKzOpa3gG9ytkw.r1Nab5UkSD1xM3HQC5AUWRnWkuVZE9l3WJenmQ1dh5I&dib_tag=se&keywords=B00004SBUI&qid=1716239796&sprefix=b00004sbui%2Caps%2C207&sr=8-1,2018
Kid A,This is one piece of vinyl you'll want to get.,"April 17, 2018",5,"This was an album I had been watching to go down for a while. It hit a low and I jumped on it. I remember listening to this CD when it came out years ago, and after picking up vinyl as I got older I wanted this one for the collection for sure. The records are a good weight, and sound great to me. Now if I can just get my family to enjoy Radiohead as much as I do XD",https://www.amazon.com/Kid-Radiohead/dp/B00004XONN/ref=sr_1_1?crid=X6KGARGJXXUD&dib=eyJ2IjoiMSJ9.DfEgN3kHLezvSGaUhgs6Aw.gCThQD7-l8NSKEo2639GEXB9dWn3wEZBJBOdy4GBkSw&dib_tag=se&keywords=B00004XONN&qid=1716243549&sprefix=b00004xonn%2Caps%2C184&sr=8-1,2018
Bob Dylan's Greatest Hits,Four Stars,"January 26, 2018",4,Gift for nephew,https://www.amazon.com/Bob-Dylans-Greatest-Hits-Dylan/dp/B00000J7SM/ref=sr_1_1?crid=3DGJSOKU7IZSU&dib=eyJ2IjoiMSJ9.1sqf0F1F_4oVBcQfLlS4Yw.m3YrRSja5d1egNnLWTf7pbV67g-30Rk0CM3GMgJFmY4&dib_tag=se&keywords=B00000J7SM&qid=1716331326&sprefix=b00000j7sm%2Caps%2C359&sr=8-1,2018
RAGE AGAINST THE MACHINE,Excellent Condition,"November 4, 2018",5,I received the cd 4 days earlier. The CD was described as LIKE-NEW and it looks like brand new. I very happy with my purchase.,https://www.amazon.com/Rage-Against-Machine/dp/B0000028RS/ref=sr_1_1?crid=VBS29MELSOA3&dib=eyJ2IjoiMSJ9.VWPcOWPyTyv5ICwl-eFZuQ.xjqxaHLS7hgSUbiLdsxg3P_bk__iyD9EZsOD0jn7lEs&dib_tag=se&keywords=B0000028RS&qid=1716317138&sprefix=b0000028rs%2Caps%2C367&sr=8-1,2018
Licensed To Ill,The CD sounds amazing after all these years,"January 20, 2018",5,Such a classic record!!!!! The CD sounds amazing after all these years. Can't beat the price. Plus they have not remastered so it sounds just like 1986. One of their best records for sure!!!!,https://www.amazon.com/Licensed-Ill-Beastie-Boys/dp/B0000024JN/ref=sr_1_1?crid=26Z40W9BCQ6GN&dib=eyJ2IjoiMSJ9.DzgrAO2p_0xnmHKmBrZUNQ.7vtU8WkuIB8LBQpmm5qZgOEnI5p_03GM7Glll6qKVyQ&dib_tag=se&keywords=B0000024JN&qid=1716297692&sprefix=b0000024jn%2Caps%2C201&sr=8-1,2018
Songs About Jane,Five Stars,"February 25, 2018",5,one of the bands best albums would recommend it to anyone,https://www.amazon.com/Songs-About-Jane-Maroon-5/dp/B00006879E/ref=sr_1_1?crid=1TJXBZFMKWDPP&dib=eyJ2IjoiMSJ9.Ew7EnjwIhOfsXj57DmeClA.6bFfdakQ4OF4sD4cfwR6SuzJ48xaoU6CtB2WL9600Mg&dib_tag=se&keywords=B00006879E&qid=1716279122&sprefix=b00006879e%2Caps%2C993&sr=8-1,2018
Kid A,Five Stars,"January 15, 2018",5,very rare material :),https://www.amazon.com/Kid-Radiohead/dp/B00004XONN/ref=sr_1_1?crid=X6KGARGJXXUD&dib=eyJ2IjoiMSJ9.DfEgN3kHLezvSGaUhgs6Aw.gCThQD7-l8NSKEo2639GEXB9dWn3wEZBJBOdy4GBkSw&dib_tag=se&keywords=B00004XONN&qid=1716243549&sprefix=b00004xonn%2Caps%2C184&sr=8-1,2018
Turbo,Great CD,"July 7, 2018",5,One of my all time favorites. Great CD.,https://www.amazon.com/Turbo-Judas-Priest/dp/B000002657/ref=sr_1_1?crid=3BGIFCD4QMAC9&dib=eyJ2IjoiMSJ9.4Lt9lOZW6aLzDYaucPf8Jg.ydzZskQEsB62kEq0d3GVh20YhkOdAutQf0Y7_zLvKfU&dib_tag=se&keywords=B000002657&qid=1716312347&sprefix=b000002657%2Caps%2C399&sr=8-1,2018
The Downward Spiral,Warped disc 2?,"August 24, 2018",4,Is anyone having a problem with the flip side of album 2? This is the 2nd set and only that side and that vinyl is sounding warped.,https://www.amazon.com/Downward-Spiral-Nine-Inch-Nails/dp/B000001Y5Z/ref=sr_1_1?crid=3A3LZ91QFKO88&dib=eyJ2IjoiMSJ9.mcGhuEujktzWkhLcRDqAbw.OmTWacVrnhAwlHzvt2cAZWOya0HUXzqFowTm8R8YXKw&dib_tag=se&keywords=B000001Y5Z&qid=1716296825&sprefix=b000001y5z%2Caps%2C334&sr=8-1,2018
Under The Influence,VERY HAPPY,"August 16, 2018",5,"I love Alan, he is one of the greatest!!! He'll go down in country music history!",https://www.amazon.com/Under-Influence-Alan-Jackson/dp/B00001T3HC/ref=sr_1_1?crid=2JU27XWI6AM4F&dib=eyJ2IjoiMSJ9.TZqmF-zrlbYHIs1dfsK64A._RoN9rwo8hQVYvh1odsgD3Zq-O8M2shDKE5etH4jDkQ&dib_tag=se&keywords=B00001T3HC&qid=1716235078&sprefix=b00001t3hc%2Caps%2C248&sr=8-1,2018
A Goofy Movie (Walt Disney Gold Classic Collection) [VHS],Perfect for our toddler,"November 9, 2018",5,"This is such a great kids movie, funny storyline and great music and comic relief. Our little one loves goofy so this is a no brainer, we grew up with this and we're so happy our little one does too. Came packaged well and worked great. This is a great gift for any little kid in your life.",https://www.amazon.com/Goofy-Movie-Disney-Classic-Collection/dp/B00004R99E/ref=sr_1_1?crid=1O3AZ73HIX2N7&dib=eyJ2IjoiMSJ9.rFFKhFdIg3yQkNA1Z96tSg.XXyyJwmBWlm42HFvoqzQz6wSk5LhJqsZRmz54Ztdl9g&dib_tag=se&keywords=B00004R99E&qid=1716404405&sprefix=b00004r99e%2Caps%2C527&sr=8-1,2018
Toto IV,VERY GOOD RECORD.,"November 7, 2018",5,"This record is one of my favourites from Toto. I have bought this item, because I wanted to have a cd. with better sound than on eighties. In this record there is a song very good, África, but there are others better than this for me.",https://www.amazon.com/Toto-IV/dp/B0000025P9/ref=sr_1_1?crid=2YCB54U5XGT8O&dib=eyJ2IjoiMSJ9.Mvsj5zCw_pAAuQf1kWcrSA.5rsvgNuHa2wMu7rc-yLV67oSTTpGKtGs0aLL_CHBiYo&dib_tag=se&keywords=B0000025P9&qid=1716308318&sprefix=b0000025p9%2Caps%2C363&sr=8-1,2018
Play,Five Stars,"March 5, 2018",5,as listed,https://www.amazon.com/Play-Moby/dp/B00000J6AG/ref=sr_1_1?crid=37CCM6X7KCM2F&dib=eyJ2IjoiMSJ9.wjLOn2_mPix7oi5zvR_VJw.LpSioksqjlOaM7zt3Zfdtcc0Ip8Q_m41AdCSiNairBQ&dib_tag=se&keywords=B00000J6AG&qid=1716326925&sprefix=b00000j6ag%2Caps%2C448&sr=8-1,2018
A Collection Greatest Hits...And More,Greatest selection of songs by Barbra!,"April 5, 2018",5,Love this CD! Replaced one that was stolen.,https://www.amazon.com/Barbra-Streisand-Collection-Greatest-Hits/dp/B0000026W1/ref=sr_1_1?crid=VLKRLPE2JKZO&dib=eyJ2IjoiMSJ9.pytSBNQjyo5r_mdtOOqPig.d_8yoOCCb7mSLySZXH1JHA3gpOY39_0P-R-xFQ9kChI&dib_tag=se&keywords=B0000026W1&qid=1716314317&sprefix=b0000026w1%2Caps%2C377&sr=8-1,2018
Live Alive,Five Stars,"June 15, 2018",5,Always a feel good CD. Anytime the rockin blues bug bites.,https://www.amazon.com/Alive-Stevie-Vaughan-Double-Trouble/dp/B00000268O/ref=sr_1_1?crid=1XHAFFY8ZUXLA&dib=eyJ2IjoiMSJ9.MyqkFG-svd5hK0daHKFhcQ.fh-RxEMwIFajAkC2vkJJNCzfxNMZ4Bo9KeEV3nC-IRM&dib_tag=se&keywords=B00000268O&qid=1716313084&sprefix=b00000268o%2Caps%2C336&sr=8-1,2018
Bob Dylan's Greatest Hits,The Best Of Bob Dylan's Early Period,"February 28, 2018",5,"The first compilation album by Bob Dylan is the best way to indulge on his best classics whether it's acoustic or electric. The lead off track here is the same as Blonde On Blonde-""Rainy Day Women #12 & 35"", which is great for the party-goers. This is followed by three of Dylan's ""folk"" classics-""Blowin' In The Wind""; ""The Times They Are A-Changin'"" and ""It Ain't Me, Babe"". The crown-achieving ""Like A Rolling Stone"" is his greatest rock piece and the first song to break the two-minute barrier single-wise. The original acoustic ""Mr. Tambourine Man"" leads off the second half of this set before the Byrds electrified it and took it to the top as their maiden voyage single release and the title of their debut album from 1965 which was the same year Dylan himself went electric at the Newport Folk Festival with two albums under his belt such as Bringing It All Back Home and Highway 61 Revisited. Speaking of the former album, it not only gave us the song just mentioned but also ""Subterranean Homesick Blues"" patterned after the Chuck Berry song ""Too Much Monkey Business"" which also serves as a stepping stone for Rap enthusiasts[Just kidding]. The second of three Blonde On Blonde songs here is ""I Want You"" with that never-ending guitar hook played by Nashville pro Wayne Moss. The song here previously released as a single only ""Positively 4th Street"", the follow-up to ""Rolling Stone"". Closing this first Dylan compilation album is the third song from Blonde On Blonde[and closing half of the first record of rock's first double album], ""Just Like A Woman"". Yes, every song on this album is a classic and yet most of these songs have widely been interpreted by many artists and even actors, i.e. William Shatner and Sebastian Cabot, the latter of whom had an album full of Bob Dylan songs in dramatic reading fashion. You could get more songs from the same period on his second greatest hits collection plus songs from the late '60s and early '70s. If you want a basic collection, this one is highly recommended and there would be no place that you're going to.",https://www.amazon.com/Bob-Dylans-Greatest-Hits-Dylan/dp/B00000J7SM/ref=sr_1_1?crid=3DGJSOKU7IZSU&dib=eyJ2IjoiMSJ9.1sqf0F1F_4oVBcQfLlS4Yw.m3YrRSja5d1egNnLWTf7pbV67g-30Rk0CM3GMgJFmY4&dib_tag=se&keywords=B00000J7SM&qid=1716331326&sprefix=b00000j7sm%2Caps%2C359&sr=8-1,2018
Greatest Hits,Five Stars,"March 11, 2018",5,This CD is one of my favorites,https://www.amazon.com/Greatest-Hits-Lenny-Kravitz/dp/B00004ZB9D/ref=sr_1_1?crid=3N3HGJHWBIQVR&dib=eyJ2IjoiMSJ9.xLSN5JCgfilOUpyxQHQ9Zg.UmQkr1LNHCyAavmwDPCYuV9wa0JLjxu-ZCVKYOAj2Uk&dib_tag=se&keywords=B00004ZB9D&qid=1716245378&sprefix=b00004zb9d%2Caps%2C364&sr=8-1,2018
High Country Snows,Dan fogelberg,"June 20, 2018",5,Great CDs and Great sound quality. I really love Exiles.,https://www.amazon.com/High-Country-Snows-Dan-Fogelberg/dp/B00000261V/ref=sr_1_1?crid=XT4N6YVBTPUK&dib=eyJ2IjoiMSJ9.tAZafTCS4JmVTfR63ZFIfw.8by2Cr0Mi-Ie2Xci-Tfw5srWl9eZbxPjGcgiwHBZDuk&dib_tag=se&keywords=B00000261V&qid=1716311609&sprefix=b00000261v%2Caps%2C214&sr=8-1,2018
Bob Dylan's Greatest Hits,Introduction to Dylan,"August 13, 2018",5,Early Dylan in all his glory. This is a good compilation and the right place to start if you're looking to introduce yourself to Dylan or if you just want the hits.,https://www.amazon.com/Bob-Dylans-Greatest-Hits-Dylan/dp/B00000J7SM/ref=sr_1_1?crid=3DGJSOKU7IZSU&dib=eyJ2IjoiMSJ9.1sqf0F1F_4oVBcQfLlS4Yw.m3YrRSja5d1egNnLWTf7pbV67g-30Rk0CM3GMgJFmY4&dib_tag=se&keywords=B00000J7SM&qid=1716331326&sprefix=b00000j7sm%2Caps%2C359&sr=8-1,2018
Leftoverture,Great price,"July 8, 2018",5,"My original copy of cd had a couple of scratches and skips so just replacing, now can listen all songs",https://www.amazon.com/Leftoverture-Kansas/dp/B000002579/ref=sr_1_1?crid=1BMCW32LI13QI&dib=eyJ2IjoiMSJ9.8hZwN_rsJUTSt5dV-WZp7A.IfEveLO_BcklRD4TFePgK-NtqoZJ27CTiGOLbIUecUM&dib_tag=se&keywords=B000002579&qid=1716303777&sprefix=b000002579%2Caps%2C356&sr=8-1,2018
Mary Poppins [VHS],Fantastic,"December 21, 2018",5,"Exactly how I remembered this from when we went to the drive in when I was a child, the colors are so vivid & the songs and the story are such fun. I talked my grandsons into watching this the one weekend they were here, they didn't want to because & I quote my oldest ""It's a girl movie"" well I talked them into it & let me tell you they loved it, in fact we are going to see Mary Poppins Returns this weekend. I am so glad that I purchased this, I got to share a favorite movie with my grandsons and have had the joy to watch them experience the same magic that I did as a kid.",https://www.amazon.com/Mary-Poppins-VHS-Julie-Andrews/dp/B00004R99M/ref=sr_1_1?crid=L70C4RNOFCPG&dib=eyJ2IjoiMSJ9.srXAApV2W4Cd_Q0vlHoa9A.N3wsX0E4P5TSGQHRd0_YEtwDP8PWLAIllmerXkXaoWU&dib_tag=se&keywords=B00004R99M&qid=1716393687&sprefix=b00004r99m%2Caps%2C333&sr=8-1,2018
Antichrist Superstar,Antichrist Superstar,"December 12, 2018",3,"As with every Manson album I've heard, there are some very good rocking tunes. However I would consider probably 40% as filler.",https://www.amazon.com/Antichrist-Superstar-Marilyn-Manson/dp/B000001Y2U/ref=sr_1_1?crid=1NR6NX5Z7ZUCY&dib=eyJ2IjoiMSJ9.qL2UIBu8WzeeTOxp22ihYA.GglBOjR-g1nUeh0PAyhbq_gqQKDFr4W2YHeZRY411xo&dib_tag=se&keywords=B000001Y2U&qid=1716294963&sprefix=b000001y2u%2Caps%2C186&sr=8-1,2018
Antichrist Superstar,Five Stars,"March 10, 2018",5,Perfect condition,https://www.amazon.com/Antichrist-Superstar-Marilyn-Manson/dp/B000001Y2U/ref=sr_1_1?crid=1NR6NX5Z7ZUCY&dib=eyJ2IjoiMSJ9.qL2UIBu8WzeeTOxp22ihYA.GglBOjR-g1nUeh0PAyhbq_gqQKDFr4W2YHeZRY411xo&dib_tag=se&keywords=B000001Y2U&qid=1716294963&sprefix=b000001y2u%2Caps%2C186&sr=8-1,2018
Leftoverture,The best,"March 7, 2018",5,"Quick shipment. What can I say it's Kansas. Owned it on vinyl, 8 track, cassette, digital, and now cd. They rock.",https://www.amazon.com/Leftoverture-Kansas/dp/B000002579/ref=sr_1_1?crid=1BMCW32LI13QI&dib=eyJ2IjoiMSJ9.8hZwN_rsJUTSt5dV-WZp7A.IfEveLO_BcklRD4TFePgK-NtqoZJ27CTiGOLbIUecUM&dib_tag=se&keywords=B000002579&qid=1716303777&sprefix=b000002579%2Caps%2C356&sr=8-1,2018
